,Sentiment,Coef,SE,t,p,N,R2
0,negative_tfidf,-0.00015618087112292188,0.00010140778452330598,-1.5401270411052883,0.1235293895387154,1542,0.08216149614721513
1,positive_tfidf,-0.0007794168978351353,0.0004873768185017272,-1.5992079808620876,0.10977439760350301,1542,0.08228663941153946
2,negative_prop,-1.1085402128999307,0.561848998791966,-1.9730216041737332,0.04849310098952968,1542,0.08204255362322643
3,positive_prop,-2.670295053600457,3.5303558594601365,-0.7563812714361321,0.44942063357923023,1542,0.08025861302548476
