,Form,Measure,Trend coefficient,Std. Error,t-stat,p-value,N filings,N firms
0,10-K,negative_prop,0.00020650736986109155,2.5512307034751287e-05,8.094421628737846,5.753707214120575e-16,384,88
1,10-K,negative_tfidf,0.9373992805147351,0.22858880009563223,4.100810188961863,4.117061618317463e-05,384,88
2,10-K,uncertainty_prop,9.254982980894092e-05,1.592337124431957e-05,5.8122007198668255,6.165684847008657e-09,384,88
3,10-K,uncertainty_tfidf,-0.08607183240372038,0.03643477294955677,-2.362354021606918,0.018159291613288504,384,88
4,10-K,positive_tfidf,0.13754500734344993,0.06678219121655515,2.0596060841644386,0.03943621411998397,384,88
5,10-K,positive_prop,2.9762012373418683e-05,9.23693009912604e-06,3.222067510961747,0.0012726914351735708,384,88
6,10-Q,negative_prop,-8.860990922529613e-05,4.81681493496044e-05,-1.8395954675809831,0.06582765029661422,1158,90
7,10-Q,negative_tfidf,-0.47080408440905336,0.2906158358193365,-1.6200221267423716,0.10522752390058518,1158,90
8,10-Q,uncertainty_prop,-6.470742780164331e-05,2.6931971127988525e-05,-2.4026250248871457,0.01627786916489751,1158,90
9,10-Q,uncertainty_tfidf,-0.14288403827602936,0.035050874030191394,-4.076475757864265,4.572341997539146e-05,1158,90
10,10-Q,positive_tfidf,-0.07709629118751837,0.05344021622021601,-1.4426642824538845,0.14911506546487055,1158,90
11,10-Q,positive_prop,6.7012627706101584e-06,1.2616290769840164e-05,0.5311595058216193,0.5953082514588244,1158,90
