,ticker,cik,company,sic,sic_desc,form,filing_date,report_date,acceptance_datetime,accession,doc_url,n_words,n_distinct,text_path,accession_clean,calendar_quarter,acceptance_et,acceptance_effective_date,day0_candidate,day0,day_minus1,price_day_minus1,n_pre_returns,n_post_returns,negative_prop,negative_tfidf,positive_prop,positive_tfidf,uncertainty_prop,uncertainty_tfidf,pre_vol,post_vol,n_pre,n_post
10,AIR,1750,AAR CORP,3720,Aircraft & Parts,10-K,2024-07-19,2024-05-31,2024-07-18 21:43:23+00:00,0001104659-24-080890,https://www.sec.gov/Archives/edgar/data/1750/000110465924080890/air-20240531x10k.htm,31045,3124,data/interim/text/000110465924080890.txt.gz,110465924080890,2024Q3,2024-07-18 17:43:23-04:00,2024-07-19,2024-07-19,2024-07-19,2024-07-18,73.29000091552734,974,424,0.022129167337735546,121.97685557033451,0.006506683846029956,26.67393549876939,0.020325334192301498,14.540041244799184,0.23199736222256553,0.3167730830852217,55.0,60.0
11,AIR,1750,AAR CORP,3720,Aircraft & Parts,10-Q,2025-01-08,2024-11-30,2025-01-07 22:45:44+00:00,0001410578-25-000003,https://www.sec.gov/Archives/edgar/data/1750/000141057825000003/air-20241130x10q.htm,7671,1199,data/interim/text/000141057825000003.txt.gz,141057825000003,2025Q1,2025-01-07 17:45:44-05:00,2025-01-08,2025-01-08,2025-01-08,2025-01-07,61.75,1093,305,0.012253943423282492,11.944209817891773,0.0032590275061921523,2.1416799618955,0.010950332420805632,3.2076008886258878,0.372790368618178,0.5200224422751787,55.0,60.0
12,AIR,1750,AAR CORP,3720,Aircraft & Parts,10-K,2025-07-22,2025-05-31,2025-07-22 01:46:43+00:00,0001410578-25-001475,https://www.sec.gov/Archives/edgar/data/1750/000141057825001475/air-20250531x10k.htm,29986,3056,data/interim/text/000141057825001475.txt.gz,141057825001475,2025Q3,2025-07-21 21:46:43-04:00,2025-07-22,2025-07-22,2025-07-22,2025-07-21,80.55000305175781,1225,173,0.023010738344560796,126.69558965742546,0.007103314880277463,33.50820269451039,0.01927566197558861,13.172344757488318,0.21099514355522386,0.34103165096734794,55.0,60.0
13,AMD,2488,ADVANCED MICRO DEVICES INC,3674,Semiconductors & Related Devices,10-K,2021-01-29,2020-12-26,2021-01-29 22:24:00+00:00,0001628280-21-001185,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/amd-20201226.htm,38776,3476,data/interim/text/000162828021001185.txt.gz,162828021001185,2021Q1,2021-01-29 17:24:00-05:00,2021-01-30,2021-01-30,2021-02-01,2021-01-29,85.63999938964844,103,1295,0.023416546317309675,105.3160659328037,0.008433051371982669,39.0529651792478,0.019883433051371982,20.339952704072854,0.39267464545502495,0.4435263149242104,55.0,60.0
14,AMD,2488,ADVANCED MICRO DEVICES INC,3674,Semiconductors & Related Devices,10-Q,2021-04-28,2021-03-27,2021-04-28 20:39:55+00:00,0000002488-21-000056,https://www.sec.gov/Archives/edgar/data/2488/000000248821000056/amd-20210327.htm,21318,2365,data/interim/text/000000248821000056.txt.gz,248821000056,2021Q2,2021-04-28 16:39:55-04:00,2021-04-29,2021-04-29,2021-04-29,2021-04-28,84.0199966430664,164,1234,0.03640116333614785,93.53558236957781,0.008209025236889014,16.52117071580146,0.028942677549488694,13.410440047705814,0.4314676955606838,0.3370724547826269,55.0,60.0
15,AMD,2488,ADVANCED MICRO DEVICES INC,3674,Semiconductors & Related Devices,10-Q,2021-07-28,2021-06-26,2021-07-28 20:46:31+00:00,0000002488-21-000116,https://www.sec.gov/Archives/edgar/data/2488/000000248821000116/amd-20210626.htm,22016,2401,data/interim/text/000000248821000116.txt.gz,248821000116,2021Q3,2021-07-28 16:46:31-04:00,2021-07-29,2021-07-29,2021-07-29,2021-07-28,97.93000030517578,227,1171,0.035655886627906974,93.43091290519138,0.007857921511627907,17.531201018497647,0.028479287790697673,13.711067599086288,0.29476356397738557,0.3505566051560686,55.0,60.0
16,AMD,2488,ADVANCED MICRO DEVICES INC,3674,Semiconductors & Related Devices,10-Q,2021-10-27,2021-09-25,2021-10-27 20:37:56+00:00,0000002488-21-000178,https://www.sec.gov/Archives/edgar/data/2488/000000248821000178/amd-20210925.htm,21791,2383,data/interim/text/000000248821000178.txt.gz,248821000178,2021Q4,2021-10-27 16:37:56-04:00,2021-10-28,2021-10-28,2021-10-28,2021-10-27,122.27999877929688,291,1107,0.03620760864577119,93.53273841781171,0.008122619430039925,18.111381117232405,0.02863567527878482,13.65058490710298,0.359763062808273,0.5982439597520133,55.0,60.0
17,AMD,2488,ADVANCED MICRO DEVICES INC,3674,Semiconductors & Related Devices,10-K,2022-02-03,2021-12-25,2022-02-03 22:22:50+00:00,0000002488-22-000016,https://www.sec.gov/Archives/edgar/data/2488/000000248822000016/amd-20211225.htm,36856,3400,data/interim/text/000000248822000016.txt.gz,248822000016,2022Q1,2022-02-03 17:22:50-05:00,2022-02-04,2022-02-04,2022-02-04,2022-02-03,120.08000183105467,359,1039,0.024962014326025614,108.9199174155256,0.008031256783156067,33.89636709928878,0.020756457564575646,17.132298319567543,0.5617618833872802,0.6713506530061994,55.0,60.0
18,AMD,2488,ADVANCED MICRO DEVICES INC,3674,Semiconductors & Related Devices,10-Q,2022-05-04,2022-03-26,2022-05-04 20:50:40+00:00,0000002488-22-000078,https://www.sec.gov/Archives/edgar/data/2488/000000248822000078/amd-20220326.htm,23924,2548,data/interim/text/000000248822000078.txt.gz,248822000078,2022Q2,2022-05-04 16:50:40-04:00,2022-05-05,2022-05-05,2022-05-05,2022-05-04,99.41999816894533,421,977,0.03452599899682327,94.96800916818471,0.007691021568299616,18.225063039120972,0.028757732820598562,16.528514000268213,0.6403708173167745,0.6025789863601358,55.0,60.0
19,AMD,2488,ADVANCED MICRO DEVICES INC,3674,Semiconductors & Related Devices,10-Q,2022-08-03,2022-06-25,2022-08-03 21:15:57+00:00,0000002488-22-000123,https://www.sec.gov/Archives/edgar/data/2488/000000248822000123/amd-20220625.htm,24727,2554,data/interim/text/000000248822000123.txt.gz,248822000123,2022Q3,2022-08-03 17:15:57-04:00,2022-08-04,2022-08-04,2022-08-04,2022-08-03,98.08999633789062,483,915,0.03344522182229951,94.30703300979013,0.007360375298256966,18.0064745824484,0.028026044404901525,16.46013427445979,0.6432698977669099,0.5431078902684124,55.0,60.0
