,ticker,cik,company,sic,sic_desc,form,filing_date,report_date,acceptance_datetime,accession,doc_url,n_words,n_distinct,text_path,accession_clean,calendar_quarter,acceptance_et,acceptance_effective_date,day0_candidate,day0,day_minus1,price_day_minus1,n_pre_returns,n_post_returns
0,AIR,1750,AAR CORP,3720,Aircraft & Parts,10-Q,2021-03-23,2021-02-28,2021-03-23 21:24:16+00:00,0001104659-21-040394,https://www.sec.gov/Archives/edgar/data/1750/000110465921040394/air-20210228x10q.htm,5753,901,data/interim/text/000110465921040394.txt.gz,000110465921040394,2021Q1,2021-03-23 17:24:16-04:00,2021-03-24,2021-03-24,2021-03-24,2021-03-23,39.97999954223633,139,1259
1,AIR,1750,AAR CORP,3720,Aircraft & Parts,10-K,2021-07-21,2021-05-31,2021-07-21 01:46:22+00:00,0001104659-21-094125,https://www.sec.gov/Archives/edgar/data/1750/000110465921094125/air-20210531x10k.htm,23055,2563,data/interim/text/000110465921094125.txt.gz,000110465921094125,2021Q3,2021-07-20 21:46:22-04:00,2021-07-21,2021-07-21,2021-07-21,2021-07-20,36.29999923706055,221,1177
2,AIR,1750,AAR CORP,3720,Aircraft & Parts,10-Q,2021-12-21,2021-11-30,2021-12-21 22:13:50+00:00,0001104659-21-152249,https://www.sec.gov/Archives/edgar/data/1750/000110465921152249/air-20211130x10q.htm,5668,903,data/interim/text/000110465921152249.txt.gz,000110465921152249,2021Q4,2021-12-21 17:13:50-05:00,2021-12-22,2021-12-22,2021-12-22,2021-12-21,37.150001525878906,329,1069
3,AIR,1750,AAR CORP,3720,Aircraft & Parts,10-Q,2022-03-22,2022-02-28,2022-03-22 21:18:22+00:00,0001104659-22-036639,https://www.sec.gov/Archives/edgar/data/1750/000110465922036639/air-20220322x10q.htm,5958,947,data/interim/text/000110465922036639.txt.gz,000110465922036639,2022Q1,2022-03-22 17:18:22-04:00,2022-03-23,2022-03-23,2022-03-23,2022-03-22,46.88999938964844,391,1007
4,AIR,1750,AAR CORP,3720,Aircraft & Parts,10-K,2022-07-21,2022-05-31,2022-07-21 15:04:06+00:00,0001104659-22-081498,https://www.sec.gov/Archives/edgar/data/1750/000110465922081498/air-20220531x10k.htm,23561,2622,data/interim/text/000110465922081498.txt.gz,000110465922081498,2022Q3,2022-07-21 11:04:06-04:00,2022-07-21,2022-07-21,2022-07-21,2022-07-20,45.02000045776367,473,925
5,AIR,1750,AAR CORP,3720,Aircraft & Parts,10-Q,2022-12-20,2022-11-30,2022-12-20 22:22:43+00:00,0001104659-22-128706,https://www.sec.gov/Archives/edgar/data/1750/000110465922128706/air-20221130x10q.htm,5561,846,data/interim/text/000110465922128706.txt.gz,000110465922128706,2022Q4,2022-12-20 17:22:43-05:00,2022-12-21,2022-12-21,2022-12-21,2022-12-20,45.209999084472656,580,818
6,AIR,1750,AAR CORP,3720,Aircraft & Parts,10-Q,2023-03-21,2023-02-28,2023-03-21 21:17:11+00:00,0001104659-23-035153,https://www.sec.gov/Archives/edgar/data/1750/000110465923035153/air-20221130x10q.htm,5863,916,data/interim/text/000110465923035153.txt.gz,000110465923035153,2023Q1,2023-03-21 17:17:11-04:00,2023-03-22,2023-03-22,2023-03-22,2023-03-21,52.619998931884766,641,757
7,AIR,1750,AAR CORP,3720,Aircraft & Parts,10-K,2023-07-18,2023-05-31,2023-07-18 21:16:55+00:00,0001104659-23-082069,https://www.sec.gov/Archives/edgar/data/1750/000110465923082069/air-20230531x10k.htm,24443,2680,data/interim/text/000110465923082069.txt.gz,000110465923082069,2023Q3,2023-07-18 17:16:55-04:00,2023-07-19,2023-07-19,2023-07-19,2023-07-18,59.81999969482422,722,676
8,AIR,1750,AAR CORP,3720,Aircraft & Parts,10-Q,2023-12-21,2023-11-30,2023-12-21 22:19:59+00:00,0001104659-23-128321,https://www.sec.gov/Archives/edgar/data/1750/000110465923128321/air-20231130x10q.htm,6260,921,data/interim/text/000110465923128321.txt.gz,000110465923128321,2023Q4,2023-12-21 17:19:59-05:00,2023-12-22,2023-12-22,2023-12-22,2023-12-21,70.79000091552734,832,566
9,AIR,1750,AAR CORP,3720,Aircraft & Parts,10-Q,2024-03-21,2024-02-29,2024-03-21 21:26:21+00:00,0001104659-24-037408,https://www.sec.gov/Archives/edgar/data/1750/000110465924037408/air-20240229x10q.htm,8675,1210,data/interim/text/000110465924037408.txt.gz,000110465924037408,2024Q1,2024-03-21 17:26:21-04:00,2024-03-22,2024-03-22,2024-03-22,2024-03-21,63.91999816894531,893,505
10,AIR,1750,AAR CORP,3720,Aircraft & Parts,10-K,2024-07-19,2024-05-31,2024-07-18 21:43:23+00:00,0001104659-24-080890,https://www.sec.gov/Archives/edgar/data/1750/000110465924080890/air-20240531x10k.htm,31045,3124,data/interim/text/000110465924080890.txt.gz,000110465924080890,2024Q3,2024-07-18 17:43:23-04:00,2024-07-19,2024-07-19,2024-07-19,2024-07-18,73.29000091552734,974,424
11,AIR,1750,AAR CORP,3720,Aircraft & Parts,10-Q,2025-01-08,2024-11-30,2025-01-07 22:45:44+00:00,0001410578-25-000003,https://www.sec.gov/Archives/edgar/data/1750/000141057825000003/air-20241130x10q.htm,7671,1199,data/interim/text/000141057825000003.txt.gz,000141057825000003,2025Q1,2025-01-07 17:45:44-05:00,2025-01-08,2025-01-08,2025-01-08,2025-01-07,61.75,1093,305
12,AIR,1750,AAR CORP,3720,Aircraft & Parts,10-K,2025-07-22,2025-05-31,2025-07-22 01:46:43+00:00,0001410578-25-001475,https://www.sec.gov/Archives/edgar/data/1750/000141057825001475/air-20250531x10k.htm,29986,3056,data/interim/text/000141057825001475.txt.gz,000141057825001475,2025Q3,2025-07-21 21:46:43-04:00,2025-07-22,2025-07-22,2025-07-22,2025-07-21,80.55000305175781,1225,173
13,AMD,2488,ADVANCED MICRO DEVICES INC,3674,Semiconductors & Related Devices,10-K,2021-01-29,2020-12-26,2021-01-29 22:24:00+00:00,0001628280-21-001185,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/amd-20201226.htm,38776,3476,data/interim/text/000162828021001185.txt.gz,000162828021001185,2021Q1,2021-01-29 17:24:00-05:00,2021-01-30,2021-01-30,2021-02-01,2021-01-29,85.63999938964844,103,1295
14,AMD,2488,ADVANCED MICRO DEVICES INC,3674,Semiconductors & Related Devices,10-Q,2021-04-28,2021-03-27,2021-04-28 20:39:55+00:00,0000002488-21-000056,https://www.sec.gov/Archives/edgar/data/2488/000000248821000056/amd-20210327.htm,21318,2365,data/interim/text/000000248821000056.txt.gz,000000248821000056,2021Q2,2021-04-28 16:39:55-04:00,2021-04-29,2021-04-29,2021-04-29,2021-04-28,84.0199966430664,164,1234
15,AMD,2488,ADVANCED MICRO DEVICES INC,3674,Semiconductors & Related Devices,10-Q,2021-07-28,2021-06-26,2021-07-28 20:46:31+00:00,0000002488-21-000116,https://www.sec.gov/Archives/edgar/data/2488/000000248821000116/amd-20210626.htm,22016,2401,data/interim/text/000000248821000116.txt.gz,000000248821000116,2021Q3,2021-07-28 16:46:31-04:00,2021-07-29,2021-07-29,2021-07-29,2021-07-28,97.93000030517578,227,1171
16,AMD,2488,ADVANCED MICRO DEVICES INC,3674,Semiconductors & Related Devices,10-Q,2021-10-27,2021-09-25,2021-10-27 20:37:56+00:00,0000002488-21-000178,https://www.sec.gov/Archives/edgar/data/2488/000000248821000178/amd-20210925.htm,21791,2383,data/interim/text/000000248821000178.txt.gz,000000248821000178,2021Q4,2021-10-27 16:37:56-04:00,2021-10-28,2021-10-28,2021-10-28,2021-10-27,122.27999877929688,291,1107
17,AMD,2488,ADVANCED MICRO DEVICES INC,3674,Semiconductors & Related Devices,10-K,2022-02-03,2021-12-25,2022-02-03 22:22:50+00:00,0000002488-22-000016,https://www.sec.gov/Archives/edgar/data/2488/000000248822000016/amd-20211225.htm,36856,3400,data/interim/text/000000248822000016.txt.gz,000000248822000016,2022Q1,2022-02-03 17:22:50-05:00,2022-02-04,2022-02-04,2022-02-04,2022-02-03,120.08000183105467,359,1039
